Tag,Energy,Carbohydrates,Protein,Fat,Sugar,Sodium,,성별,남자
bulgogi,176.71 ,18.30 ,12.75 ,5.83 ,3.36 ,892.09 ,,에너지(kcal),2600,2100,,
남자,,0.07 ,0.04 ,0.23 ,0.04 ,0.07 ,0.59 ,,탄수화물(g),410,330,남자: 360~460,여자 290~370
여자,,0.08 ,0.06 ,0.26 ,0.06 ,0.07 ,0.59 ,,단백질(g),55,50,,
,egg,175.57 ,2.61 ,11.98 ,13.02 ,0.05 ,327.21 ,,지방(g),130,105,100~160,80~130
남자,,0.07 ,0.01 ,0.22 ,0.10 ,0.00 ,0.22 ,,당류,50,50,,
여자,,0.08 ,0.01 ,0.24 ,0.12 ,0.00 ,0.22 ,,나트륨,1500,1500,,
,gim,19.00 ,2.00 ,3.30 ,0.40 ,1.70 ,144.00 ,,,,,,
남자,,0.01 ,0.00 ,0.06 ,0.00 ,0.03 ,0.10 ,,,,,,
여자,,0.01 ,0.01 ,0.07 ,0.00 ,0.03 ,0.10 ,,,,,,
,kimchi,19.00 ,2.90 ,1.20 ,0.30 ,1.60 ,312.08 ,,,,,,
남자,,0.01 ,0.01 ,0.02 ,0.00 ,0.03 ,0.21 ,,,,,,
여자,,0.01 ,0.01 ,0.02 ,0.00 ,0.03 ,0.21 ,,,,,,
,kimchijjigae,243.00 ,11.90 ,15.10 ,15.00 ,3.00 ,1962.14 ,,,,,,
남자,,0.09 ,0.03 ,0.27 ,0.12 ,0.06 ,1.31 ,,,,,,
여자,,0.12 ,0.04 ,0.30 ,0.14 ,0.06 ,1.31 ,,,,,,
,mushroom,90.69 ,7.80 ,3.40 ,5.10 ,1.42 ,434.25 ,,,,,,
남자,,0.03 ,0.02 ,0.06 ,0.04 ,0.03 ,0.29 ,,,,,,
여자,,0.04 ,0.02 ,0.07 ,0.05 ,0.03 ,0.29 ,,,,,,
,rice,272.00 ,66.50 ,6.00 ,0.20 ,0.05 ,6.00 ,,,,,,
남자,,0.10 ,0.16 ,0.11 ,0.00 ,0.00 ,0.00 ,,,,,,
여자,,0.13 ,0.20 ,0.12 ,0.00 ,0.00 ,0.00 ,,,,,,
,sangchu,68.07 ,8.02 ,2.51 ,2.88 ,3.23 ,499.98 ,,,,,,
남자,,0.03 ,0.02 ,0.05 ,0.02 ,0.06 ,0.33 ,,,,,,
여자,,0.03 ,0.02 ,0.05 ,0.03 ,0.06 ,0.33 ,,,,,,
,tonkatsu,623.83 ,98.16 ,32.99 ,30.60 ,3.66 ,574.08 ,,,,,,
남자,,0.24 ,0.24 ,0.60 ,0.24 ,0.07 ,0.38 ,,,,,,
여자,,0.30 ,0.30 ,0.66 ,0.29 ,0.07 ,0.38 ,,,,,,
,wooung,67.95 ,15.83 ,0.78 ,0.37 ,7.08 ,204.75 ,,,,,,
남자,,0.03 ,0.04 ,0.01 ,0.00 ,0.14 ,0.14 ,,,,,,
여자,,0.03 ,0.05 ,0.02 ,0.00 ,0.14 ,0.14 ,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,